frame,entropy,sigma_E2,efficiency,E_co2,n_tracks,mean_speed_frame
0,0.0,0.0,1.0,0.0,4,0.0
1,0.0,0.0,1.0,0.0,4,2.027326324300113
2,1.7478680975144258,7.023381208997387,0.1741448077351953,7.8973152577546,4,2.0521471085167726
3,1.9722469794565511,7.8479644090226515,0.13914385131354687,8.834087898750926,4,2.223621395165585
4,2.083766037510623,7.8530905712954375,0.12446060516711813,8.89497359005075,4,2.3696043871552073
5,2.1285490048951914,10.072453050288388,0.11900985134382083,11.136727552735984,4,2.200529861409252
6,2.054356304404771,12.198221090685838,0.12817531491451872,13.225399242888223,4,2.0979995666973057
7,1.944734088324555,14.072195622370126,0.1430252503659092,15.044562666532403,4,2.131136780534593
8,2.0336244043766087,16.07669455719243,0.13086036970147485,17.093506759380734,4,2.1434064961598853
9,2.138008006221269,17.90112325146311,0.11788944432170553,18.970127254573743,4,2.161837336140098
10,2.0143336763610344,20.454923049313454,0.13340926750511894,21.46208988749397,5,2.292507075668241
11,2.094511353068501,29.130679560267115,0.12313039624638103,30.177935236801364,5,3.136377580430419
12,1.890115774722991,62.821343267779085,0.15105431955197912,63.76640115514058,5,3.9720166334232645
13,1.9387752256410204,83.47269856266897,0.1438800625178438,84.44208617548948,5,3.8452143482920293
14,1.7745917037765768,186.33133622195865,0.16955266308069383,187.21863207384695,5,4.750017138966978
15,1.7922086276722167,185.06849659653267,0.1665918237353986,185.96460091036877,5,3.008243198963611
16,1.683382468339816,389.68746189877817,0.18574463692593132,390.52915313294807,5,5.650591815791178
17,1.716332384350752,530.2978909783487,0.1797240995371323,531.1560571705242,5,5.585273527050795
18,1.7338433395453672,527.5734044326467,0.17660435346739536,528.4403261024194,6,4.200985945606397
19,1.7453926454656834,534.0407876967004,0.1745764288645762,534.9134840194332,6,3.713170299857025
20,1.751568587704191,552.3794093319173,0.17350157745026507,553.2551936257694,6,3.864495069727512
21,1.7704275390273874,595.8639894040988,0.17026018039036783,596.7492031736125,6,4.052186771771917
22,1.7680254601163083,667.483149567865,0.17066965037179738,668.3671622979232,7,4.35986608090342
